iter	Passed	Remaining
0	2	1518
1	4	1618
2	6	1622
3	9	1637
4	11	1606
5	13	1571
6	16	1625
7	18	1619
8	20	1644
9	24	1716
10	26	1714
11	29	1728
12	32	1730
13	34	1750
14	37	1732
15	40	1762
16	42	1762
17	44	1741
18	47	1749
19	50	1748
20	52	1742
21	55	1736
22	58	1772
23	60	1754
24	63	1760
25	66	1753
26	69	1772
27	73	1796
28	75	1782
29	77	1772
30	80	1785
31	82	1770
32	85	1758
33	88	1763
34	90	1759
35	92	1748
36	95	1742
37	97	1740
38	100	1743
39	103	1744
40	105	1737
41	107	1723
42	109	1710
43	112	1719
44	114	1709
45	116	1697
46	119	1705
47	122	1701
48	124	1689
49	126	1688
50	129	1685
51	132	1691
52	136	1699
53	138	1690
54	141	1698
55	144	1698
56	147	1702
57	149	1697
58	152	1691
59	154	1687
60	156	1679
61	159	1676
62	161	1674
63	163	1667
64	166	1662
65	169	1663
66	171	1655
67	173	1651
68	176	1653
69	178	1646
70	180	1639
71	183	1639
72	185	1631
73	187	1624
74	189	1620
75	192	1619
76	194	1614
77	197	1610
78	199	1605
79	201	1597
80	203	1591
81	205	1588
82	208	1587
83	210	1581
84	212	1576
85	214	1572
86	217	1567
87	220	1571
88	223	1569
89	225	1565
90	227	1559
91	230	1558
92	232	1555
93	234	1549
94	237	1551
95	240	1547
96	242	1548
97	245	1545
98	247	1541
99	249	1536
100	252	1534
101	255	1535
102	257	1529
103	259	1524
104	262	1527
105	265	1522
106	267	1517
107	269	1514
108	271	1511
109	273	1505
110	275	1500
111	278	1498
112	280	1492
113	282	1491
114	285	1488
115	287	1485
116	289	1479
117	291	1476
118	294	1473
119	296	1469
120	298	1463
121	301	1463
122	303	1460
123	305	1457
124	309	1460
125	312	1459
126	314	1455
127	317	1455
128	319	1451
129	321	1448
130	325	1449
131	327	1448
132	330	1448
133	333	1444
134	335	1439
135	337	1434
136	339	1432
137	342	1429
138	344	1425
139	347	1426
140	349	1424
141	352	1420
142	354	1418
143	357	1418
144	359	1414
145	362	1411
146	364	1408
147	366	1404
148	368	1400
149	371	1400
